Payment Advice number,Sendor mail,Original sendor mail,Vendor name (Payee name),Customer Name as per Payment advice,Entry type,Amount settled,Other document number,Invoice number
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,BDPO,-4525368.88,26401351104458,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-194.22,B2B2526/1112167-TDS-CM-3164,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-55.01,B2B2526/1112168-TDS-CM-6943,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-139.77,B2B2526/1112174-TDS-CM-3143,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-371.27,B2B2526/1112276-TDS-CM-7887,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,BDPO,3511844.52,337027030,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-14.85,B2B2526/1112277-TDS-CM-1313,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,762827.52,,B2B2526/1112344
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-646.46,B2B2526/1112344-TDS-CM-3812,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,741984.0,,B2B2526/1112417
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-628.8,B2B2526/1112417-TDS-CM-8603,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,762827.52,,B2B2526/1112457
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-646.46,B2B2526/1112457-TDS-CM-8761,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,953838.13,,B2B2526/1112484
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-810.79,B2B2526/1112484-TDS-CM-8894,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,1439531.3,,B2B2526/1112508
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-1219.95,B2B2526/1112508-TDS-CM-2389,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,96288.0,,B2B2526/1112534
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-81.6,B2B2526/1112534-TDS-CM-9097,
